the_geom,Borough,Feat_Type,OfficialNM,Honor_Name,Old_Name,ULURPCPNUM,Intro_NUM,Intro_Year,IntroMonth,Intro_Day,LL_NUM,LL_SEC,LL_Type,LLEffectDT,LL_Limits,Limits_ER,Repealed,Repeal_DT,Amended,Amend_DT,Amendt_TXT,AMDYRLLSEC
POINT (-74.08912148057911 40.58414256104758),Staten Island,Intersection name,None,Vincent S. Chiara Way,None,none,0471,2004,10,13,063,70,Honorary,12/21/2004,the intersection of Liberty Avenue and Mason Avenue,,No,,No,,,
POINT (-74.01082340300863 40.60670076791827),Brooklyn,Intersection name,None,Rita Blau Way,None,none,0471,2004,10,13,063,10,Honorary,12/21/2004,the intersection of 16th Avenue and Bath Avenue,,No,,No,,,
POINT (-73.9834673989941 40.771135766460304),Manhattan,Intersection name,None,Jerome Robbins Place,None,none,0471,2004,10,13,063,36,Honorary,12/21/2004,the intersection of West 62nd Street and Columbus Avenue,,No,,No,,,
POINT (-73.95775745966317 40.60098588903353),Brooklyn,Intersection name,None,Luther Mook Corner,None,none,0471,2004,10,13,063,64,Honorary,12/21/2004,the intersection of Avenue T and East 14th Street,,No,,No,,,
POINT (-74.00987373255226 40.62467900128834),Brooklyn,Corner name,None,Charles J. Mauro 9/11 Memorial Way,None,none,0471,2004,10,13,063,14,Honorary,12/21/2004,the northeast corner of the intersection of 72nd Street and 11th Avenue,,No,,No,,,
POINT (-74.13343167301429 40.60358140860328),Staten Island,Intersection name,None,Detective Frank P. Collins Street,None,none,0471,2004,10,13,063,66,Honorary,12/21/2004,the intersection of Willowbrook Road and Buchanan Avenue,,No,,No,,,
POINT (-74.0254719259975 40.637140137615724),Brooklyn,Intersection name,None,Kathleen Hunt Casey 9/11 Memorial Way,None,none,0471,2004,10,13,063,11,Honorary,12/21/2004,the intersection of Senator Street and 3rd Avenue,,No,,No,,,
POINT (-74.07254447939806 40.6140941628966),Staten Island,Corner name,None,John Crispino Way,None,none,0471,2004,10,13,063,53,Honorary,12/21/2004,the northwest corner of the intersection of Tomplins Avenue and St. Mary’s Avenue,,No,,No,,,
POINT (-73.98027623960809 40.59630824832982),Brooklyn,Corner name,None,Constantino Tino DeCorato Way,None,none,0471,2004,10,13,063,77,Honorary,12/21/2004,the northeast corner of the intersection of Avenue U and West 9th Street,,No,,No,,,
POINT (-73.9415470075606 40.60758228796005),Brooklyn,Intersection name,None,Edward DeSimone III Corner,None,none,0471,2004,10,13,063,8,Honorary,12/21/2004,the intersection of Gerritsen Avenue and Avenue R,,No,,No,,,
POINT (-73.94827457089029 40.744916151110715),Queens,Corner name,None,Palmina Delli Gatti Place,None,none,0471,2004,10,13,063,19,Honorary,12/21/2004,the northeast corner of the intersection of 47th Avenue and Jackson Avenue,,No,,No,,,
POINT (-73.9769038148244 40.79018642955346),Manhattan,Intersection name,None,"Arturo ""Chico"" O'Farrill Place",None,none,0471,2004,10,13,063,37,Honorary,12/21/2004,the intersection of West 88th Street and West End Avenue,,No,,No,,,
